Method,Important Features

Information Gain,"['page_load_time', 'internal_links','color_hex_encoded', 'external_links', 'text_percentage', 'indexing_status_encoded']"
Chi-square Test,"['page_load_time', 'most_used_font_face', 'image_percentage', 'text_percentage', 'internal_links', 'external_links', 'color_hex_encoded', 'indexing_status_encoded']"
Fisher’s Score, "['page_load_time', 'internal_links', 'external_links', 'secure_protocol', 'image_percentage', 'indexing_status_encoded']"
Variance Threshold, "['page_load_time', 'most_used_font_face', 'text_percentage', 'internal_links', 'external_links', 'color_hex_encoded']"
Mean Absolute Difference, "['internal_links','external_links', 'color_hex_encoded', 'most_used_font_face', 'text_percentage']"
Dispersion Ratio, "['internal_links','external_links', 'text_percentage','color_hex_encoded', 'page_load_time', 'most_used_font_face']"
Forward Feature Selection,"['page_load_time', 'image_percentage', 'text_percentage', 'internal_links', 'secure_protocol']"
Backward Feature Elimination,"['page_load_time', 'image_percentage', 'video_percentage', 'text_percentage', 'internal_links', 'external_links', 'secure_protocol', 'color_hex_encoded']"
Exhaustive Feature Selection, "['page_load_time']"
Recursive Feature Elimination,"['page_load_time', 'image_percentage', 'text_percentage', 'internal_links', 'external_links']"
Lasso Regularization,"['page_load_time', 'most_used_font_face', 'image_percentage', 'text_percentage']"
Random Forest, "['page_load_time', 'text_percentage', 'internal_links', 'image_percentage', 'external_links', 'most_used_font_face']"
Boruta,"['page_load_time', 'image_percentage', 'text_percentage', 'internal_links', 'external_links']"
PCA,"['color_hex_encoded', 'most_used_font_face', 'image_percentage']"

